Center Name,Address,City,State,ZIP Code,Phone,Website,Email/Contact,Key Providers/Specialists,Therapeutic Areas,Products/Drugs Used,Manufacturers/Sponsors,Clinical Trials,Trial Sponsors,Capacity/Beds,NCI Designated,FACT Accredited,Additional Patient Services
UCSF Weill Institute MS Center,675 Nelson Rising Lane,San Francisco,CA,94158,415-353-2069,https://www.ucsfhealth.org/clinics/multiple_sclerosis_center,mscenter@ucsf.edu,"Dr. Stephen Hauser (MS Pioneer), Dr. Ari Green, Dr. Bruce Cree","Multiple Sclerosis, Progressive MS, Pediatric MS, Stem Cell for MS","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia, Rituxan","Genentech/Roche, Novartis, Biogen, EMD Serono, BMS","B-cell depletion studies, Progressive MS biomarkers, Remyelination, HSCT","UCSF, NMSS, NIH/NINDS, Rachleff",4000+ MS patients,No,No,"Research participation, MRI research center, MS specialty clinic, Cognitive testing"
Massachusetts General Hospital MS Center,165 Cambridge Street,Boston,MA,02114,617-726-2000,https://www.massgeneral.org/neurology/treatments-and-services/multiple-sclerosis,mscenter@mgh.harvard.edu,"Dr. Tanuja Chitnis (MS Director), Dr. Brian Healy, Dr. Bonnie Glanz","Multiple Sclerosis, Pediatric MS, Progressive MS, MS Neuroimaging","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia, Gilenya","Genentech, Novartis, Biogen, EMD Serono, BMS","Advanced neuroimaging, Pediatric MS trials, Precision medicine","MGH, NMSS, NIH/NINDS, Industry",3500+ MS patients,No,No,"Pediatric MS program, Advanced MRI protocols, Physical therapy, Wellness"
NYU Langone MS Center,240 E 38th Street,New York,NY,10016,646-501-7600,https://nyulangone.org/locations/multiple-sclerosis-comprehensive-care-center,mscenter@nyulangone.org,"Dr. Ilya Kister (MS Director), Dr. Lana Zhovtis Ryerson, Dr. Leigh Charvet","Multiple Sclerosis, Pediatric MS, MS Cognition, Stem Cell MS","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia, Vumerity","Genentech, Novartis, Biogen, EMD Serono, BMS","Cognitive rehabilitation, Pediatric MS outcomes, Novel imaging","NYU, NMSS, NIH/NINDS, Industry",2800+ MS patients,No,No,"Cognitive testing center, Infusion suite, MS nurse coordination, Physical therapy"
University of Pennsylvania MS Center,3400 Civic Center Blvd,Philadelphia,PA,19104,215-662-3606,https://www.pennmedicine.org/neurology/multiple-sclerosis,mscenter@pennmedicine.org,"Dr. Amit Bar-Or (MS Immunology), Dr. Clyde Markowitz","Multiple Sclerosis, Progressive MS, MS Immunology, Stem Cell Therapy","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia","Genentech, Novartis, Biogen, EMD Serono, BMS","B-cell biology in MS, HSCT for aggressive MS, Progressive MS therapeutics","Penn Medicine, NMSS, NIH/NINDS",2000+ MS patients,No,No,"MS specialty pharmacy, Clinical trial unit, Physical medicine, Patient education"
Columbia University MS Center,710 W 168th Street,New York,NY,10032,212-305-1818,https://www.columbiamsneurology.org,mscenter@cumc.columbia.edu,"Dr. Claire Riley (MS Director), Dr. Saud Sadiq","Multiple Sclerosis, Stem Cell MS, Progressive MS, Autoimmune Neurology","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia","Genentech, Novartis, Biogen, EMD Serono, BMS","Neural stem cell therapy for MS, Progressive MS trials","Columbia, NMSS, Tisch MS Research, NIH",3000+ MS patients,No,No,"Neural stem cell program, Infusion center, MS rehabilitation, Research"
Mount Sinai MS Center,5 E 98th Street,New York,NY,10029,212-241-6500,https://www.mountsinai.org/locations/multiple-sclerosis-center,mscenter@mountsinai.org,"Dr. Aaron Miller (MS Director), Dr. Fred Lublin, Dr. Stephen Krieger","Multiple Sclerosis, Progressive MS, Clinical Trials, Stem Cell Research","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia, Ponvory","Genentech, Novartis, Biogen, EMD Serono, BMS, Janssen","Progressive MS therapeutics, Neuroprotection trials, Biomarker development","Mount Sinai, NMSS, NIH/NINDS",2500+ MS patients,No,No,"Clinical trials unit, Infusion center, MS fellowship training, Patient support"
UT Southwestern MS Center,5323 Harry Hines Blvd,Dallas,TX,75390,214-645-8300,https://www.utsouthwestern.edu/education/medical-school/departments/neurology/programs/multiple-sclerosis,neuro.scheduling@utsouthwestern.edu,"Dr. Olaf Stuve (MS Research), Dr. Darin Okuda, Dr. Benjamin Greenberg","Multiple Sclerosis, Neuromyelitis Optica, MOG Disease, Stem Cell MS","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia, Enspryng","Genentech/Roche, Novartis, Biogen, EMD Serono, BMS","NMO spectrum disorder trials, MS immunology, Novel therapeutics","UT Southwestern, NMSS, NIH/NINDS, Guthy-Jackson",1800+ MS/NMO patients,No,No,"NMO Center of Excellence, Infusion services, Clinical trials, Neuro-ophthalmology"
Cedars-Sinai MS Center,127 S San Vicente Blvd,Los Angeles,CA,90048,310-423-6472,https://www.cedars-sinai.org/programs/multiple-sclerosis,mscenter@cshs.org,"Dr. Nancy Sicotte (MS Director), Dr. Shanthi Sivendran","Multiple Sclerosis, Neuromyelitis Optica, Autoimmune Encephalitis, MS Stem Cell","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia","Genentech, Novartis, Biogen, EMD Serono, BMS","MS imaging biomarkers, Neuroprotection strategies, Advanced MRI","Cedars-Sinai, NMSS, NIH/NINDS",2200+ MS patients,No,No,"Advanced imaging center, Infusion clinic, Clinical research unit, Wellness"
Stanford MS Center,213 Quarry Road,Palo Alto,CA,94304,650-723-6469,https://med.stanford.edu/ms-center.html,mscenter@stanford.edu,"Dr. May Han (MS Director), Dr. Emmanuel Waubant, Dr. Lawrence Steinman","Multiple Sclerosis, Pediatric MS, Progressive MS, Precision Medicine","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia","Genentech, Novartis, Biogen, EMD Serono, BMS","Pediatric MS research, Remyelination trials, Precision medicine","Stanford, NMSS, NIH/NINDS, PCORI",2000+ MS patients incl pediatric,No,No,"Pediatric MS clinic, Research participation, MRI research, Physical therapy"
Northwestern Medicine MS Center,710 N Lake Shore Drive,Chicago,IL,60611,312-695-7950,https://www.nm.org/conditions-and-care-areas/neurology/multiple-sclerosis,mscenter@nm.org,"Dr. Ayal Romm (MS Director), Dr. Douglas Jeffery, Dr. Ann Bass","Multiple Sclerosis, Progressive MS, MS Pregnancy, Stem Cell MS","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia","Genentech, Novartis, Biogen, EMD Serono, BMS","MS pregnancy registry, Progressive MS studies, Novel imaging","Northwestern, NMSS, NIH/NINDS",1800+ MS patients,No,No,"Pregnancy and MS program, Infusion center, Clinical trials, Support groups"
Duke MS Center,932 Morreene Road,Durham,NC,27705,919-668-7600,https://neurology.duke.edu/patient-care/multiple-sclerosis,msclinic@duke.edu,"Dr. Christopher Luzzio (MS), Dr. Kim Jordan","Multiple Sclerosis, Neuromyelitis Optica, MOG Disease, MS Rehabilitation","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia","Genentech, Novartis, Biogen, EMD Serono, BMS","MS rehabilitation outcomes, Cognitive interventions, QOL studies","Duke, NMSS, NIH/NINDS, PCORI",1500+ MS patients,No,No,"MS rehabilitation program, Cognitive clinic, Nurse specialists, PT"
Brigham and Women's MS Center,60 Fenwood Road,Boston,MA,02115,617-732-5500,https://www.brighamandwomens.org/neurology/multiple-sclerosis-and-neuroimmunology,mscenter@bwh.harvard.edu,"Dr. Howard Weiner (MS Pioneer), Dr. Rohit Bakshi, Dr. Bonnie Glanz","Multiple Sclerosis, MS Imaging, Oral Tolerance, Progressive MS","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia, Tecfidera","Genentech, Novartis, Biogen, EMD Serono, BMS","Oral tolerance immunotherapy, Advanced neuroimaging, Biomarker discovery","Brigham, NMSS, NIH/NINDS",3000+ MS patients,No,No,"MS imaging center, Research studies, Infusion services, Multidisciplinary care"
University of Miami MS Center,1120 NW 14th Street,Miami,FL,33136,305-243-3049,https://umiamihealth.org/en/treatments-and-services/neurology/multiple-sclerosis,mscenter@med.miami.edu,"Dr. Mauricio Farez (MS Research), Dr. Carolina Ionete","Multiple Sclerosis, Latin American MS Research, Progressive MS, Stem Cell","Ocrevus, Kesimpta, Tysabri, Mavenclad, Zeposia","Genentech, Novartis, Biogen, EMD Serono, BMS","MS epidemiology, Health disparities research, Progressive MS trials","University of Miami, NMSS, NIH/NINDS",1600+ MS patients,No,No,"Spanish language services, Clinical trials, Infusion center, Community outreach"
Cleveland Clinic Miller Heart Institute,9500 Euclid Avenue,Cleveland,OH,44195,216-445-9288,https://my.clevelandclinic.org/departments/heart,heartinfo@ccf.org,"Dr. Samir Kapadia (Interventional), Dr. Milind Desai, Dr. James Young","Heart Failure, CAR-T Cardiotoxicity, Cardio-Oncology, Gene Therapy for Heart","Mavacamten, Tafamidis, PCSK9 inhibitors, Gene therapy protocols","BMS, Pfizer, Amgen, Regeneron","Gene therapy for heart failure, CAR-T cardioprotection","Cleveland Clinic, NIH/NHLBI, AHA",1500+ advanced heart failure patients,No,No,"Cardio-oncology program, Heart failure clinic, Advanced imaging, Cardiac rehab"
Mayo Clinic Cardiovascular,200 First Street SW,Rochester,MN,55905,507-284-2511,https://www.mayoclinic.org/departments-centers/cardiovascular-diseases,heartcenter@mayo.edu,"Dr. Barry Borlaug (Heart Failure), Dr. Leslie Cooper, Dr. Iftikhar Kullo","Heart Failure, Cardiomyopathy, Precision Cardiology, Genetic Heart Disease","Mavacamten, Tafamidis, Vyndaqel, PCSK9 inhibitors, Gene therapy","BMS, Pfizer, Amgen, Regeneron","Precision medicine for cardiomyopathy, Gene therapy for inherited heart disease","Mayo Clinic, NIH/NHLBI, AHA",2000+ heart failure patients,No,No,"Cardiogenetics clinic, Precision cardiology, Family screening, Genetic counseling"
Duke Heart Center,2301 Erwin Road,Durham,NC,27710,919-684-2407,https://cardiology.duke.edu,heartinfo@duke.edu,"Dr. Adrian Hernandez (Heart Failure), Dr. Joseph Rogers, Dr. Carmelo Milano","Heart Failure, Advanced HF, Cell Therapy, Cardio-Oncology","Mavacamten, Tafamidis, Cell-based therapies, PCSK9 inhibitors","BMS, Pfizer, Mesoblast, Amgen, Regeneron","Stem cell therapy for heart failure, Cardio-oncology trials","Duke, NIH/NHLBI, AHA, Industry",1800+ heart failure patients,No,No,"Cardio-oncology clinic, Heart failure program, Cardiac rehab, Research"
Johns Hopkins Heart Institute,600 N Wolfe Street,Baltimore,MD,21287,410-955-5000,https://www.hopkinsmedicine.org/heart_vascular_institute,heartinstitute@jhmi.edu,"Dr. Stuart Russell (Heart Failure), Dr. Ryan Tedford, Dr. Kavita Sharma","Heart Failure, Pulmonary Hypertension, Cardiomyopathy, Precision Cardiology","Mavacamten, Tafamidis, Sotatercept, PCSK9 inhibitors","BMS, Pfizer, Merck, Amgen, Regeneron","Pulmonary hypertension precision medicine, Gene therapy for cardiomyopathy","Johns Hopkins, NIH/NHLBI, AHA",1500+ heart failure patients,No,No,"Pulmonary hypertension program, Genetic counseling, Advanced imaging, Support"
Massachusetts General Heart Center,55 Fruit Street,Boston,MA,02114,617-726-2000,https://www.massgeneral.org/heart-center,heartcenter@mgh.harvard.edu,"Dr. Marc Semigran (Heart Failure), Dr. James Januzzi, Dr. Akshay Desai","Heart Failure, Precision Cardiology, Cardio-Oncology, Advanced Therapeutics","Mavacamten, Tafamidis, Entresto, PCSK9 inhibitors","BMS, Pfizer, Novartis, Amgen, Regeneron","Biomarker-guided therapy, Cardio-oncology research, Novel HF medications","MGH, NIH/NHLBI, AHA, Industry",2000+ heart failure patients,No,No,"Cardio-oncology service, Heart failure clinic, Genetic testing, Rehabilitation"
Northwestern Bluhm Cardiovascular,676 N St Clair St,Chicago,IL,60611,312-695-0061,https://www.nm.org/conditions-and-care-areas/heart-and-vascular,heartinfo@nm.org,"Dr. Clyde Yancy (Cardiology), Dr. Jane Wilcox, Dr. Duc Pham","Heart Failure, Preventive Cardiology, Women's Heart, Advanced HF","Mavacamten, Tafamidis, Entresto, PCSK9 inhibitors","BMS, Pfizer, Novartis, Amgen, Regeneron","Women's cardiovascular health, HFpEF studies","Northwestern, NIH/NHLBI, AHA",1600+ heart failure patients,No,No,"Women's cardiovascular center, HF clinic, Prevention program, Cardiac rehab"
Cedars-Sinai Smidt Heart Institute,127 S San Vicente Blvd,Los Angeles,CA,90048,310-423-3816,https://www.cedars-sinai.org/programs/heart,heartinstitute@cshs.org,"Dr. Eduardo Marban (Stem Cell Pioneer), Dr. Raj Makkar, Dr. Michelle Kittleson","Heart Failure, Stem Cell Therapy, Interventional, Women's Heart","Mavacamten, Tafamidis, CAP-1002 (CDC cells), PCSK9 inhibitors","BMS, Pfizer, Capricor, Amgen, Regeneron","Cardiosphere-derived cell therapy, Precision cardiology, Regenerative medicine","Cedars-Sinai, NIH/NHLBI, AHA, Capricor",2000+ heart patients,No,No,"Regenerative medicine, Women's heart center, Advanced imaging, Research"
Stanford Cardiovascular Institute,300 Pasteur Drive,Stanford,CA,94305,650-723-6661,https://med.stanford.edu/cardiovascular.html,cardiovascular@stanford.edu,"Dr. Joseph Wu (Stem Cell), Dr. Kiran Khush, Dr. Sean Pinney","Heart Failure, Stem Cell Cardiology, Precision Medicine, Advanced HF","Mavacamten, Tafamidis, iPSC therapies, PCSK9 inhibitors","BMS, Pfizer, Stanford CVI, Amgen, Regeneron","iPSC-derived cardiac cells, Precision cardiology genomics, Novel biologics","Stanford, NIH/NHLBI, AHA, CIRM",1800+ heart failure patients,No,No,"Precision cardiology clinic, Stem cell program, Genetic counseling, Trials"
UCLA Cardiovascular Center,100 Medical Plaza,Los Angeles,CA,90095,310-206-6386,https://www.uclahealth.org/heart,cardiovascular@mednet.ucla.edu,"Dr. Gregg Fonarow (Heart Failure), Dr. Eric Adler, Dr. Robb MacLellan","Heart Failure, Regenerative Cardiology, Cardiomyopathy, Precision Medicine","Mavacamten, Tafamidis, Entresto, PCSK9 inhibitors, Cell therapies","BMS, Pfizer, Novartis, Amgen, Regeneron","Regenerative cardiology trials, Precision medicine for cardiomyopathy","UCLA, NIH/NHLBI, AHA, CIRM",1700+ heart failure patients,No,No,"Regenerative medicine clinic, HF center, Genetic testing, Rehabilitation"
Columbia Heart Center,161 Fort Washington Ave,New York,NY,10032,212-305-5098,https://www.cardiologycolumbia.org,heartcenter@cumc.columbia.edu,"Dr. Donna Mancini (Heart Failure), Dr. Mathew Maurer, Dr. Nir Uriel","Heart Failure, Cardiac Amyloidosis, Advanced HF, Precision Cardiology","Mavacamten, Tafamidis, Vyndamax, ATTR-targeted therapies","BMS, Pfizer, Alnylam, Ionis, Eidos","Cardiac amyloidosis precision therapy, Gene silencing for ATTR","Columbia, NIH/NHLBI, AHA, Pfizer, Alnylam",1500+ HF incl amyloidosis,No,No,"Amyloidosis center of excellence, Advanced HF, Genetic counseling"
UPMC Heart and Vascular,200 Lothrop Street,Pittsburgh,PA,15213,412-647-8762,https://www.upmc.com/services/heart-vascular,heartvascular@upmc.edu,"Dr. Gavin Hickey (Cardiac Surgery), Dr. Mary Norine Walsh, Dr. Dennis McNamara","Heart Failure, Cardiac Surgery, Interventional, Cardiomyopathy","Mavacamten, Tafamidis, Entresto, PCSK9 inhibitors","BMS, Pfizer, Novartis, Amgen, Regeneron","Novel heart failure therapeutics, Minimally invasive cardiac surgery","UPMC, NIH/NHLBI, AHA, Industry",1400+ heart failure patients,No,No,"Heart failure program, Cardiac surgery excellence, Rehabilitation, Trials"
UCSF Heart and Vascular Center,505 Parnassus Avenue,San Francisco,CA,94143,415-353-2873,https://www.ucsfhealth.org/clinics/heart_and_vascular_center,heartcenter@ucsf.edu,"Dr. Teresa De Marco (Heart Failure), Dr. Liviu Klein, Dr. Priscilla Hsue","Heart Failure, Cardio-Oncology, Pulmonary Hypertension, Precision Medicine","Mavacamten, Tafamidis, Sotatercept, PCSK9 inhibitors","BMS, Pfizer, Merck, Amgen, Regeneron","Cardio-oncology research, PAH trials, Women's heart health","UCSF, NIH/NHLBI, AHA, Industry",1500+ heart failure patients,No,No,"Cardio-oncology clinic, PAH center, Women's cardiovascular health"
Emory Heart and Vascular Center,1365 Clifton Road NE,Atlanta,GA,30322,404-778-5000,https://www.emoryhealthcare.org/heart-vascular,heartcenter@emory.edu,"Dr. Alanna Morris (Heart Failure), Dr. J. David Vega, Dr. Mwansa Ketema","Heart Failure, Advanced HF, Women's Cardiology, Transplant Cardiology","Mavacamten, Tafamidis, Entresto, PCSK9 inhibitors","BMS, Pfizer, Novartis, Amgen, Regeneron","Women's cardiovascular health, HF device trials, Novel therapeutics","Emory, NIH/NHLBI, AHA, Industry",1300+ heart failure patients,No,No,"Women's heart center, HF clinic, Transplant program, Cardiac rehab"
Kaiser Permanente Los Angeles Medical Center,4867 Sunset Blvd,Los Angeles,CA,90027,323-783-4011,https://healthy.kaiserpermanente.org,cancerservices@kp.org,"Dr. Michael Gould (Oncology), Dr. Debra Ritzwoller","CAR-T, Stem Cell Transplant, Community Cancer Care, Precision Medicine","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","Community-based CAR-T delivery, Quality outcomes research","Kaiser Permanente, Industry sponsors",400+ CAR-T patients,No,Yes,"Integrated care, Member resources, Financial counseling, Support groups"
Scripps MD Anderson Cancer Center,10666 N Torrey Pines Road,La Jolla,CA,92037,858-554-9100,https://www.scripps.org/services/cancer-care,cancer@scripps.org,"Dr. James Mason (Medical Oncology), Dr. Carolyn Briggs","CAR-T, Stem Cell Transplant, Precision Oncology, Immunotherapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Novel immunotherapy protocols","Scripps, MD Anderson, Industry",350+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Integrative medicine, Support"
University of Kansas Cancer Center,3901 Rainbow Blvd,Kansas City,KS,66160,913-588-1227,https://www.kansascancercenter.org,cancercenter@kumc.edu,"Dr. Anurag Singh (CAR-T), Dr. Joseph McGuirk, Dr. Siddhartha Ganguly","CAR-T, Gene Therapy, Stem Cell Transplant, Immunotherapy, Precision Medicine","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T optimization, Novel cellular therapies, Gene therapy trials","University of Kansas, NIH/NCI",450+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial assistance, Clinical trial support, Support groups"
University of Nebraska Medical Center,987680 Nebraska Medical Center,Omaha,NE,68198,402-559-4000,https://www.unmc.edu/cancercenter,cancercenter@unmc.edu,"Dr. Julie Vose (Lymphoma), Dr. James Armitage, Dr. Matthew Lunning","CAR-T, Stem Cell Transplant, Lymphoma Center, Immunotherapy","Kymriah, Yescarta, Breyanzi, Abecma, Tecartus","Novartis, Gilead/Kite, BMS","Lymphoma CAR-T trials, Novel immunotherapies, Bispecific antibodies","University of Nebraska, NIH/NCI",400+ CAR-T treatments,Yes - Designated,Yes,"Patient navigation, Housing assistance, Financial counseling, Support"
Medical University of South Carolina,86 Jonathan Lucas Street,Charleston,SC,29425,843-792-9300,https://muschealth.org/medical-services/cancer,hollingscancercenter@musc.edu,"Dr. Robert Stuart (CAR-T), Dr. Laura Blume, Dr. Ernesto Ayala","CAR-T, Stem Cell Transplant, Hematologic Malignancies, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Stem cell transplant innovations, Gene therapy studies","MUSC, NIH/NCI, Industry",350+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial services, Clinical trial coordination, Support"
University of Rochester Medical Center,601 Elmwood Avenue,Rochester,NY,14642,585-275-5863,https://www.urmc.rochester.edu/cancer-center,cancercenter@urmc.rochester.edu,"Dr. Jonathan Friedberg (Lymphoma), Dr. Michael Becker, Dr. Louis Weiner","CAR-T, Gene Therapy, Stem Cell Transplant, Lymphoma Immunotherapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","Lymphoma CAR-T optimization, Novel cellular therapies","University of Rochester, NIH/NCI",300+ CAR-T patients,Yes - Designated,Yes,"Patient navigation, Clinical trial matching, Financial assistance, Support"
Wake Forest Baptist Medical Center,Medical Center Blvd,Winston-Salem,NC,27157,336-716-2011,https://www.wakehealth.edu/cancer-center,comprehensivecancercenter@wakehealth.edu,"Dr. Dmitriy Berenzon (CAR-T), Dr. Keiko Blau, Dr. Timothy Pardee","CAR-T, Stem Cell Transplant, Acute Leukemia, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T for AML trials, Novel immunotherapies, Gene therapy studies","Wake Forest, NIH/NCI, Industry",300+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial counseling, Integrative medicine, Support"
Virginia Commonwealth University Massey Cancer Center,401 College Street,Richmond,VA,23298,804-828-0450,https://www.massey.vcu.edu,massey@vcu.edu,"Dr. Beata Holkova (CAR-T), Dr. John Roberts, Dr. David Wilkinson","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T clinical trials, Novel cellular therapies, Gene therapy protocols","VCU Massey, NIH/NCI, Industry",300+ CAR-T treatments,Yes - Designated,Yes,"Patient navigation, Financial services, Clinical trial support, Wellness"
Medical College of Wisconsin,8701 Watertown Plank Road,Milwaukee,WI,53226,414-955-8296,https://www.mcw.edu/departments/cancer-center,cancercenter@mcw.edu,"Dr. Parameswaran Hari (Stem Cell), Dr. Nirav Shah, Dr. Binod Dhakal","CAR-T, Stem Cell Transplant, Multiple Myeloma, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma, Carvykti","Novartis, Gilead/Kite, BMS, Janssen","Multiple myeloma CAR-T, Novel cellular therapies, Gene therapy trials","MCW, NIH/NCI, Industry sponsors",450+ transplants annually,Yes - Designated,Yes,"Patient navigation, Financial assistance, Support groups, Clinical trials"
University of Iowa Holden Cancer Center,200 Hawkins Drive,Iowa City,IA,52242,319-356-1905,https://uihc.org/holden-comprehensive-cancer-center,holden-info@healthcare.uiowa.edu,"Dr. Umar Farooq (CAR-T), Dr. Michael Lim, Dr. Carlos Vigil","CAR-T, Stem Cell Transplant, Gene Therapy, Immunotherapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T optimization, Gene therapy trials, Novel immunotherapies","University of Iowa, NIH/NCI",300+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Housing assistance, Financial counseling, Support"
University of Florida Health Cancer Center,2033 Mowry Road,Gainesville,FL,32610,352-265-0725,https://cancer.ufhealth.org,ufcanceranswerline@ufl.edu,"Dr. John Wingard (Stem Cell), Dr. Christopher Cogle, Dr. Jack Ohanian","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T clinical trials, Gene therapy studies, Stem cell innovations","University of Florida, NIH/NCI",350+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial services, Clinical trial coordination, Support"
Oregon Health & Science University,2720 S Moody Avenue,Portland,OR,97201,503-494-1080,https://www.ohsu.edu/knight-cancer-institute,cancer@ohsu.edu,"Dr. Richard Maziarz (CAR-T), Dr. Eneida Nemecek, Dr. Andy Kaempf","CAR-T, Gene Therapy, Stem Cell Transplant, Pediatric and Adult","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T for solid tumors, Gene therapy trials, Novel cellular therapies","OHSU, NIH/NCI, Industry",400+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Housing assistance, Financial counseling, Support groups"
University of Arizona Cancer Center,1515 N Campbell Avenue,Tucson,AZ,85724,520-694-2873,https://cancercenter.arizona.edu,uacc-contact@uacc.arizona.edu,"Dr. Daniel Persky (CAR-T), Dr. Jose Trent, Dr. Faiz Anwer","CAR-T, Stem Cell Transplant, Gene Therapy, Lymphoma","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","Lymphoma CAR-T trials, Novel cellular therapies, Gene therapy studies","University of Arizona, NIH/NCI",300+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial assistance, Clinical trial support, Wellness"
University of New Mexico Cancer Center,1201 Camino de Salud NE,Albuquerque,NM,87102,505-272-4946,https://cancer.unm.edu,unmccc@salud.unm.edu,"Dr. Richard Lauer (Stem Cell), Dr. Cecilia Arana Yi, Dr. Ian Rabinowitz","CAR-T, Stem Cell Transplant, Hematologic Malignancies, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T clinical trials, Gene therapy protocols, Novel immunotherapies","University of New Mexico, NIH/NCI",250+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial services, Clinical trial coordination, Native American outreach"
University of Kentucky Markey Cancer Center,800 Rose Street,Lexington,KY,40536,859-257-4500,https://ukhealthcare.uky.edu/markey-cancer-center,markey@uky.edu,"Dr. Gerhard Hildebrandt (CAR-T), Dr. Heidi Weiss, Dr. John D'Orazio","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T clinical trials, Gene therapy studies, Novel cellular therapies","University of Kentucky, NIH/NCI",300+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial assistance, Rural health outreach, Support"
University of Vermont Cancer Center,89 Beaumont Avenue,Burlington,VT,05405,802-656-5487,https://www.uvmhealth.org/cancer,cancer.center@uvmhealth.org,"Dr. Steven Ades (Hematology), Dr. Marie Wood, Dr. Chris Holmes","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Rural cancer care innovations","University of Vermont, NIH/NCI",200+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Travel assistance, Financial counseling, Telemedicine"
West Virginia University Cancer Institute,1 Medical Center Drive,Morgantown,WV,26506,304-293-4229,https://wvucancer.org,wvuci@hsc.wvu.edu,"Dr. Michael Newton (Hematology), Dr. Aaron Cumpston, Dr. Sijin Wen","CAR-T, Stem Cell Transplant, Gene Therapy, Appalachian Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Appalachian health disparities research, Gene therapy","WVU, NIH/NCI, Appalachian ECHO",250+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Travel assistance, Financial services, Community outreach"
University of Mississippi Medical Center,2500 North State Street,Jackson,MS,39216,601-984-1000,https://www.umc.edu/cancer,cancer-center@umc.edu,"Dr. Srinivas Devarakonda (Hematology), Dr. Charlotte Hobbs, Dr. Donald Dafoe","CAR-T, Stem Cell Transplant, Gene Therapy, Sickle Cell","Kymriah, Yescarta, Breyanzi, Gene therapy for sickle cell","Novartis, Gilead/Kite, BMS, Bluebird Bio","CAR-T trials, Sickle cell gene therapy, Health disparities research","University of Mississippi, NIH/NCI",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Sickle cell program, Outreach"
